code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
600961,株冶集团,商品+外汇,有色金属,央企,4,2025-12-09,"[""其他"", ""场外衍生品"", ""外汇"", ""外汇远期"", ""期货"", ""汇率"", ""白银"", ""美元"", ""铅"", ""铜"", ""铝"", ""锌"", ""黄金""]"
000039,中集集团,商品+外汇,机械设备,其他,4,2026-03-27,"[""利率互换"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""热轧卷板"", ""美元"", ""货币互换"", ""钢材""]"
000895,双汇发展,商品+外汇,食品饮料,外资,4,2025-11-27,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""大豆"", ""大豆油"", ""期权"", ""期货"", ""棕榈油"", ""欧元"", ""淀粉"", ""玉米"", ""生猪"", ""白糖"", ""纸浆"", ""美元"", ""豆油"", ""豆粕"", ""货币互换"", ""远期结售汇"", ""铝锭"", ""鸡肉""]"
600282,南钢股份,商品+外汇,钢铁,央企,6,2026-03-17,"[""不锈钢"", ""其他"", ""合金"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""焦炭"", ""焦煤"", ""美元"", ""钢材"", ""铁合金"", ""铁矿石"", ""镍""]"
002014,永新股份,商品+外汇,轻工制造,集体,3,2026-04-24,"[""其他"", ""场外衍生品"", ""外汇互换"", ""外汇掉期"", ""外汇期权"", ""外汇期货"", ""期权"", ""期货"", ""欧元"", ""美元"", ""聚丙烯"", ""聚丙烯(PP)"", ""聚丙烯（PP）"", ""聚乙烯"", ""聚乙烯(PE)"", ""聚乙烯（PE）"", ""货币互换"", ""货币掉期"", ""远期结售汇""]"
002950,奥美医疗,商品+外汇,医药生物,外资,8,2026-04-28,"[""利率互换"", ""场外衍生品"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""棉纱"", ""棉花"", ""短纤"", ""美元"", ""聚丙烯"", ""聚乙烯"", ""聚苯乙烯"", ""货币互换"", ""越南盾"", ""远期结售汇""]"
600057,厦门象屿,商品+外汇,交通运输,地方国企,8,2026-02-07,"[""其他"", ""农副产品"", ""场外衍生品"", ""外汇掉期"", ""外汇远期结售汇"", ""掉期"", ""新能源"", ""期权"", ""期货"", ""欧元"", ""港币"", ""美元"", ""能源化工"", ""远期"", ""远期结售汇"", ""金属矿产""]"
601061,中信金属,商品+外汇,商贸零售,央企,6,2026-02-12,"[""其他"", ""化工"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""有色金属"", ""期权"", ""期货"", ""热轧卷板"", ""电解铜"", ""电解铝"", ""美元"", ""运费"", ""金"", ""钢材"", ""铁合金"", ""铁矿石"", ""铜"", ""铝"", ""银"", ""锌"", ""镍""]"
002920,德赛西威,商品+外汇,汽车,其他,4,2026-03-06,"[""人民币"", ""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""期货"", ""美元"", ""货币互换"", ""远期结售汇""]"
000301,东方盛虹,商品+外汇,石油石化,民企,8,2026-04-29,"[""LPG"", ""MEG"", ""PTA"", ""PX"", ""乙二醇"", ""乙二醇(MEG)"", ""其他"", ""利率互换"", ""原油"", ""合成橡胶"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""对二甲苯"", ""对二甲苯(PX)"", ""成品油"", ""期权"", ""期货"", ""液化石油气"", ""液化石油气(LPG)"", ""甲醇"", ""石脑油"", ""精对苯二甲酸"", ""精对苯二甲酸(PTA)"", ""纯苯"", ""美元"", ""苯乙烯"", ""货币互换"", ""远期结售汇""]"
